id;titre;date;pdf_file;parent_id;parent_titre;parent_date;matiere_id;matiere_titre
492;Cahier n°13;01/04/1995;auticle72b694126649102ba383000a5e61c873(11).pdf;NULL;NULL;NULL;NULL;NULL
500;Cahier n°12;01/11/1994;auticle72b694126649102ba383000a5e61c873(19).pdf;NULL;NULL;NULL;NULL;NULL
508;Cahier n°11;01/07/1994;auticle72b694126649102ba383000a5e61c873(28).pdf;NULL;NULL;NULL;NULL;NULL
517;Cahier n°10;01/01/1994;auticle72b694126649102ba383000a5e61c873(37).pdf;NULL;NULL;NULL;NULL;NULL
527;Cahier n°9;01/07/1993;auticle72b694126649102ba383000a5e61c873(48).pdf;NULL;NULL;NULL;NULL;NULL
536;Cahier n°8;01/04/1993;auticle72b694126649102ba383000a5e61c873(57).pdf;NULL;NULL;NULL;NULL;NULL
546;Cahier n°7;01/01/1993;auticle72b694126649102ba383000a5e61c873(67).pdf;NULL;NULL;NULL;NULL;NULL
553;Cahier n°6;01/07/1992;auticle72b694126649102ba383000a5e61c873(74).pdf;NULL;NULL;NULL;NULL;NULL
563;Cahier n°5;04/04/1992;auticle72b694126649102ba383000a5e61c873(84).pdf;NULL;NULL;NULL;NULL;NULL
572;Cahier n°4;01/01/1992;auticle72b694126649102ba383000a5e61c873(93).pdf;NULL;NULL;NULL;NULL;NULL
581;Cahier n°3;01/07/1991;auticle54db006a578d102b8d7d000a5e61c873(3).pdf;NULL;NULL;NULL;NULL;NULL
592;Cahier n°2;01/04/1991;auticle54db006a578d102b8d7d000a5e61c873(14).pdf;NULL;NULL;NULL;NULL;NULL
600;Cahier n°1;01/01/1991;auticle54db006a578d102b8d7d000a5e61c873(22).pdf;NULL;NULL;NULL;NULL;NULL
609;Cahier n°1990-3;01/07/1990;;NULL;NULL;NULL;NULL;NULL
617;Cahier n°1990-2;07/04/1990;;NULL;NULL;NULL;NULL;NULL
628;Cahier n°1990-1;01/01/1990;;NULL;NULL;NULL;NULL;NULL
637;Cahier n°1989-3;01/07/1989;;NULL;NULL;NULL;NULL;NULL
646;Cahier n°1989-2;01/04/1989;;NULL;NULL;NULL;NULL;NULL
655;Cahier n°1989-1;01/01/1989;;NULL;NULL;NULL;NULL;NULL
664;Cahier n°1988-3;01/09/1988;;NULL;NULL;NULL;NULL;NULL
673;Cahier n°1988-2;01/04/1988;;NULL;NULL;NULL;NULL;NULL
681;Cahier n°1988-1;01/01/1988;;NULL;NULL;NULL;NULL;NULL
689;Cahier n°1987-4;01/11/1987;;NULL;NULL;NULL;NULL;NULL
700;Cahier n°59;12/12/2010;201059sommaire.pdf;NULL;NULL;NULL;NULL;NULL
712;Cahier n° 60;16/03/2011;201160sommaibe.pdf;NULL;NULL;NULL;NULL;NULL
